"Edit","Copy","Ctrl+C","In Dialogs and Windows"
"Edit","Redo","Ctrl+Y","In Dialogs and Windows"
"Views","Show View (Error Log)","Alt+Shift+Q, L","In Windows"
"Source","Quick Assist - Rename in file","Ctrl+2, R","Editing Java Source"
"Terminal view commands","Terminal view insert","Alt+F","Terminal Typing Connected"
"Text Editing","Toggle Folding","Ctrl+Numpad_Divide","Editing Text"
"File","Rename","F2","In Windows"
"Navigate","Open Remote Task","Ctrl+Alt+Shift+F12","In Windows"
"Views","Show View (Search)","Alt+Shift+Q, S","In Windows"
"Navigate","Activate Task","Ctrl+F9","In Windows"
"Navigate","Quick Outline","Ctrl+Shift+O","Task Markup Editor Source Context"
"ASA 9.x table schema editor","Cut","Alt+X","In Windows"
"Task Repositories","Open Selected Task","Ctrl+Enter","In Tasks View"
"Navigate","Backward History","Alt+Left","In Windows"
"Focused UI","Make Less Interesting","Ctrl+Alt+Shift+Down","In Windows"
"Source","Toggle Comment","Ctrl+/","Editing Properties Files"
"Run/Debug","Step Into","F5","Debugging"
"Navigate","Open Declaration","F3","JavaScript View"
"Edit","Restore Last Selection","Alt+Shift+Down","Editing Java Source"
"Text Editing","Line End","End","Editing Text"
"Window","Maximize Active View or Editor","Alt+Up","Terminal Widget in Focus"
"File","New menu","Alt+Shift+N","In Windows"
"Run/Debug","Debug Java Applet","Alt+Shift+D, A","In Windows"
"Source","Quick Assist - Assign to local variable","Ctrl+2, L","Editing Java Source"
"Text Editing","Collapse","Ctrl+Numpad_Subtract","Editing Text"
"File","Close All","Ctrl+Shift+W","In Windows"
"Window","Update Project","Alt+F5","In Windows"
"Edit","Content Assist","Ctrl+Space","In Dialogs and Windows"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"Navigate","Open Type","Ctrl+Shift+T","Editing JavaScript Source"
"Refactor - Java","Extract Constant","Ctrl+R, K","In Windows"
"Terminal view commands","Terminal view insert","Alt+S","Terminal Typing Connected"
"Text Editing","Delete Next Word","Ctrl+Delete","Editing Text"
"Refactor - Java","Move Type to New File","Ctrl+R, N","JavaScript View"
"Navigate","Quick Outline","Ctrl+O","Editing JavaScript Source"
"Navigate","Go to Matching Bracket","Ctrl+Shift+P","Editing JavaScript Source"
"Navigate","Open Type Hierarchy","F4","JavaScript View"
